Obs.no,Gender,Age,Height,Weight,Education,Urbanity,FastFood,HouseholdIncome,Alone,Children,Labeling
1,0,44,180,69,5,5,1,6,0,1,1
2,0,63,171,63,5,5,2,5,0,0,1
3,0,69,170,70,5,5,2,7,1,0,1
4,1,51,175,80,5,5,2,6,0,1,0
5,1,68,172,78,5,3,3,8,0,0,0
6,0,55,162,55,5,5,4,7,0,0,1
7,1,54,190,84,5,1,4,9,0,0,1
8,1,29,183,84,5,5,4,7,1,0,1
9,0,40,170,79,5,3,4,8,0,1,0
10,0,28,164,74,5,4,4,6,0,1,0
11,0,35,171,82,5,5,4,7,0,0,0
12,1,41,180,93,5,5,4,5,0,1,1
13,1,30,170,89,5,5,4,6,0,1,1
14,1,51,185,80,5,2,5,4,0,0,1
15,1,44,184,84,5,5,5,5,0,0,1
16,0,53,173,62,4,1,1,3,0,1,0
17,0,49,165,65,4,3,1,4,0,1,1
18,0,72,163,59,4,4,2,2,0,0,1
19,1,74,168,68,4,3,2,5,0,0,1
20,0,64,162,64,4,3,2,4,0,0,1
21,1,57,175,75,4,2,2,6,0,0,0
22,0,58,164,74,4,4,2,5,0,0,0
23,1,21,175,60,4,1,3,7,0,1,1
24,0,57,174,65,4,5,3,6,0,0,1
25,0,33,174,65,4,5,3,8,1,0,0
26,1,74,172,65,4,1,3,7,0,0,1
27,0,30,163,60,4,5,3,9,0,0,1
28,0,35,177,71,4,5,3,7,1,0,1
29,0,47,169,65,4,2,3,5,0,1,0
30,0,46,170,68,4,5,3,6,0,0,1
31,0,32,176,78,4,2,3,4,0,0,1
32,1,38,184,86,4,2,3,5,0,1,0
33,0,55,170,76,4,5,3,3,1,0,1
34,0,47,174,80,4,3,3,4,0,1,0
35,1,66,182,90,4,5,3,6,0,0,0
36,0,29,158,75,4,3,3,5,0,0,0
37,0,27,165,58,4,5,4,7,0,0,1
38,0,67,176,67,4,4,4,6,0,0,1
39,1,34,194,85,4,2,4,8,0,0,0
40,0,62,162,72,4,2,4,7,0,0,0
41,0,38,173,84,4,5,4,5,0,1,1
42,1,39,186,105,4,3,4,7,0,1,1
43,0,27,160,57,3,1,2,6,0,0,1
44,0,42,176,70,3,5,3,8,0,1,1
45,0,45,167,66,3,3,3,7,0,0,1
46,0,54,163,63,3,5,3,9,0,0,1
47,0,58,172,76,3,2,3,8,0,0,1
48,1,66,190,106,3,3,3,7,0,0,0
49,0,54,173,89,3,1,3,6,0,0,1
50,0,43,162,55,3,5,4,5,0,0,1
51,1,34,178,72,3,5,4,6,0,1,0
52,0,27,178,74,3,2,4,5,0,1,0
53,1,38,178,79,3,4,4,7,0,1,0
54,1,37,175,78,3,3,4,6,0,1,0
55,1,37,177,82,3,2,4,8,0,1,1
56,0,42,178,90,3,5,4,7,0,0,1
57,0,39,157,90,3,5,5,8,0,0,1
58,0,53,166,53,4,5,1,7,1,0,1
59,0,52,163,57,4,2,2,6,0,0,0
60,1,65,178,100,4,5,2,5,0,0,0
61,0,44,172,52,4,1,3,6,0,0,0
62,0,47,163,59,4,3,3,7,0,0,0
63,0,41,172,68,4,2,3,6,0,1,0
64,0,25,174,70,4,5,3,8,1,0,1
65,0,54,163,74,4,4,3,7,0,0,1
66,0,48,157,79,4,3,3,7,0,0,1
67,0,39,185,125,4,1,3,6,0,1,0
68,0,24,178,92,4,5,4,5,0,1,1
69,1,21,186,103,4,4,4,4,0,0,0
70,0,30,175,71,4,4,5,5,1,0,1
71,1,56,176,71,2,2,3,6,0,0,0
72,0,45,170,70,2,5,3,7,0,1,1
73,1,28,195,110,2,3,4,6,0,0,0
74,1,26,180,65,2,3,5,5,1,0,0
75,1,39,185,107,2,4,5,7,1,0,1
76,0,20,161,53,2,3,3,5,0,0,1
77,0,21,172,62,2,5,3,6,0,0,0
78,0,21,167,61,2,5,3,4,0,1,0
79,0,23,158,58,2,5,3,5,0,0,0
80,0,21,164,67,2,2,3,3,0,0,1
81,0,20,172,56,2,5,4,4,0,0,1
82,0,18,167,58,2,1,4,8,0,1,1
83,1,28,178,68,2,4,4,6,0,0,1
84,0,19,174,65,2,4,4,7,0,0,0
85,0,20,166,63,2,5,4,5,0,0,1
86,1,27,168,65,2,5,4,6,1,0,1
87,0,24,176,75,2,5,4,4,0,0,0
88,0,60,162,69,2,2,4,5,0,0,1
89,0,20,173,79,2,1,4,5,0,1,1
90,0,23,154,66,2,5,4,6,1,0,1
91,0,28,175,54,2,5,5,8,0,1,1
92,0,24,168,60,2,3,5,7,0,0,1
93,1,17,187,78,2,5,5,8,0,1,1
94,0,26,170,87,2,4,5,8,0,1,0
95,0,64,157,50,1,2,1,7,0,0,1
96,0,16,166,74,1,4,2,9,0,1,1
97,1,60,180,62,1,5,3,7,0,0,1
98,1,51,184,72,1,3,3,5,0,0,0
99,0,28,164,64,1,5,3,6,0,0,1
100,0,50,180,90,1,4,3,4,0,0,0
101,1,15,192,70,1,4,4,5,0,1,1
102,0,18,168,55,1,3,4,6,0,0,0
103,0,15,171,69,1,1,4,4,0,1,1
104,1,60,175,77,1,4,4,5,0,0,0
105,1,25,178,72,5,5,3,1,1,0,0
106,0,25,165,62,5,2,3,1,1,0,0
107,0,24,178,56,4,5,2,1,0,0,0
108,0,27,154,50,4,5,2,1,1,0,1
109,0,28,184,68,4,5,3,1,0,0,1
110,1,23,175,65,4,5,4,1,1,0,1
111,0,25,166,55,3,5,4,1,0,0,1
112,1,25,181,84,3,5,4,1,1,0,1
113,1,26,185,75,3,3,6,1,0,0,0
114,1,31,184,95,3,5,6,1,1,0,1
115,0,25,168,58,4,5,4,1,1,0,0
116,0,23,169,69,2,5,4,1,0,0,1
117,1,23,180,73,2,5,5,1,0,0,0
118,0,22,178,74,2,5,2,1,0,0,1
119,0,20,170,55,2,5,3,1,1,0,0
120,0,23,170,59,2,5,3,1,1,0,0
121,0,23,165,68,2,5,3,1,1,0,1
122,1,25,158,73,2,5,3,1,1,0,1
123,0,27,164,68,2,5,4,1,1,0,0
124,1,16,172,55,1,5,2,1,0,1,0
125,0,51,159,55,1,3,3,1,0,0,1
126,0,21,165,63,1,5,3,1,0,0,1
127,0,17,166,49,1,5,4,1,0,1,1
128,0,19,170,54,1,3,4,1,0,0,0
129,0,19,166,58,1,5,5,1,1,0,1
130,1,36,183,75,5,5,3,2,1,0,1
131,0,68,161,60,5,3,3,2,1,0,0
132,0,42,172,86,5,3,3,2,1,0,1
133,0,32,178,93,5,5,4,2,1,0,1
134,0,61,165,63,4,5,1,2,1,0,1
135,0,25,175,72,4,5,2,2,1,0,0
136,0,68,180,77,4,3,2,2,1,0,1
137,0,61,163,90,4,5,2,2,0,0,1
138,0,26,165,65,4,5,3,2,0,0,1
139,0,62,163,103,4,2,3,2,1,0,1
140,0,27,160,55,4,5,4,2,0,0,1
141,1,32,187,90,4,5,4,2,0,0,1
142,1,28,190,107,4,5,4,2,0,0,0
143,0,25,168,85,4,5,4,2,1,0,0
144,1,35,180,72,3,5,1,2,1,0,1
145,0,22,180,65,3,5,3,2,0,0,1
146,1,38,172,69,3,2,3,2,1,0,0
147,0,54,173,82,3,5,4,2,1,0,1
148,1,40,183,107,3,4,4,2,0,0,1
149,1,20,175,65,3,5,5,2,1,0,0
150,1,33,178,82,3,5,5,2,1,0,0
151,0,67,165,61,4,1,1,2,1,0,1
152,1,69,180,85,4,2,1,2,0,0,0
153,1,60,181,74,4,5,3,2,1,0,1
154,0,70,169,68,4,4,3,2,1,0,1
155,0,50,157,61,4,5,3,2,1,0,1
156,0,18,173,57,4,5,4,2,0,0,1
157,1,45,187,82,4,5,4,2,1,0,0
158,1,59,176,86,4,2,4,2,1,0,0
159,0,20,176,80,2,5,3,2,0,0,1
160,0,25,169,79,2,5,3,2,0,1,1
161,0,19,165,68,2,3,4,2,0,0,1
162,0,21,167,60,2,5,1,2,1,0,1
163,0,64,172,65,2,1,1,2,0,0,0
164,0,23,173,75,2,5,1,2,0,0,1
165,0,57,165,85,2,1,2,2,1,0,1
166,0,23,165,50,2,5,3,2,0,0,1
167,0,24,171,66,2,1,3,2,0,0,1
168,0,27,174,72,2,5,3,2,0,0,0
169,0,25,169,71,2,5,3,2,0,0,1
170,0,23,165,60,2,5,4,2,1,0,1
171,0,25,183,79,2,5,4,2,1,0,1
172,0,20,165,65,2,5,4,2,1,0,1
